price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
8456875.0,7420.0,4.0,1.0,3,1,0,0,0,1,2.0,1,2
8456875.0,9960.0,3.0,1.0,2,1,0,1,0,0,2.0,1,1
8456875.0,7500.0,4.0,1.0,2,1,0,1,0,1,2.5,1,2
8456875.0,7420.0,4.0,1.0,2,1,1,1,0,1,2.0,0,2
8456875.0,7500.0,3.0,1.0,1,1,0,1,0,1,2.0,1,1
8456875.0,10555.625,4.5,1.0,2,1,0,0,0,0,0.0,0,0
8456875.0,8100.0,4.0,1.0,2,1,1,1,0,1,2.0,1,2
8456875.0,10555.625,3.0,1.0,2,1,0,1,0,1,2.0,1,2
8456875.0,6000.0,4.0,1.0,2,1,1,1,1,0,2.0,0,1
8456875.0,6550.0,4.0,1.0,2,1,0,0,0,1,1.0,1,1
8456875.0,3500.0,4.0,1.0,2,1,0,0,1,0,2.0,0,2
8456875.0,7800.0,3.0,1.0,2,1,0,0,0,0,0.0,1,1
8456875.0,6000.0,4.0,1.0,2,1,0,1,0,0,2.0,0,1
8456875.0,6600.0,4.0,1.0,2,1,1,1,0,1,1.0,1,0
8456875.0,4600.0,3.0,1.0,2,1,1,0,0,1,2.0,0,2
8456875.0,6420.0,3.0,1.0,2,1,0,0,0,1,1.0,1,1
8456875.0,4320.0,3.0,1.0,2,1,0,1,1,0,2.0,0,1
8456875.0,7155.0,3.0,1.0,1,1,1,1,0,1,2.0,0,0
8456875.0,8050.0,3.0,1.0,1,1,1,1,0,1,1.0,0,2
8456875.0,4560.0,3.0,1.0,2,1,1,1,0,1,1.0,0,2
8456875.0,8800.0,3.0,1.0,2,1,0,0,0,1,2.0,0,2
8456875.0,6540.0,4.0,1.0,2,1,1,1,0,1,2.0,1,2
8400000.0,8875.0,3.0,1.0,1,1,0,0,0,0,1.0,0,1
8400000.0,7950.0,4.5,1.0,2,1,0,1,1,0,2.0,0,0
8400000.0,5500.0,4.0,1.0,2,1,0,1,0,1,1.0,1,1
8295000.0,4880.0,4.0,1.0,2,1,0,0,0,1,1.0,1,2
8190000.0,5960.0,3.0,1.0,2,1,1,1,0,0,1.0,0,0
8120000.0,6840.0,4.5,1.0,2,1,1,1,0,1,1.0,0,2
8043000.0,7482.0,3.0,1.0,3,1,0,0,1,0,1.0,1,2
7875000.0,6550.0,3.0,1.0,2,1,0,1,0,1,0.0,1,2
7560000.0,6000.0,3.0,1.0,3,1,0,0,0,1,0.0,0,1
7455000.0,4300.0,3.0,1.0,2,1,0,1,0,0,1.0,0,0
7420000.0,7440.0,3.0,1.0,1,1,1,1,0,1,0.0,1,1
7350000.0,6000.0,3.0,1.0,2,1,1,0,0,1,1.0,0,1
7350000.0,6000.0,3.0,1.0,2,1,0,0,0,1,1.0,0,0
